Stim,Humans Continuous,SD,Word2Vec,GloVe,Taxonomic
the alcohol blood.,0.71,0.98,0.37127557,0.402201763,0.570252307
the alcohol screen.,0.9,1.18,0.066408486,0.079153028,0.174364508
the alligator mouth.,3.54,0.96,0.212630538,0.283077989,0.205587763
the alligator skin.,3.93,0.26,0.150999408,0.284452252,0.227701588
the ankle bracelet.,4,0,0.158441171,0.392701813,0.263678767
the ant fire.,1,1.02,0.194008136,0.187523744,0.170677379
the ant hill.,3.93,0.38,0.169494537,0.195547859,0.187189722
the ant queen.,2.75,1.04,0.190423255,0.184269229,0.32663679
the ape baby.,2.75,1.27,0.240778306,0.194279758,0.507615922
the ape blood.,2.96,1.26,-0.00960639,0.083758436,0.322165349
the ape body.,2.75,1.24,0.151872527,0.121578387,0.301388223
the ape stage.,1.04,1.17,0.185429026,0.08169651,0.223676916
the apple butter.,2.82,1.66,0.246291943,0.316514171,0.675683038
the apple cake.,3.36,0.95,0.373114555,0.318016865,0.579569579
the apple candy.,3.07,1.02,0.405313484,0.340362489,0.6321339
the apple cider.,4,0,0.444181052,0.421406703,0.61001162
the apple juice.,4,0,0.447455602,0.441051189,0.63116203
the apple pie.,4,0,0.392972977,0.384685671,0.59537298
the apple tomato.,0.69,1.04,0.560818179,0.382844378,0.769088535
the apple tree.,3.86,0.59,0.414281753,0.296468911,0.434126589
the arm sword.,0.78,0.93,0.264001999,0.297774675,0.5398115
the army bomb.,3.07,1.05,0.189176321,0.325253701,0.250174466
the army book.,3.04,1.1,0.02177513,0.125629718,0.161081901
the army field.,3.14,1.04,0.066271714,0.315447978,0.222638215
the army helmet.,3.96,0.19,0.123069273,0.167697458,0.218709696
the army hospital.,3.71,0.71,0.194949078,0.308363288,0.254418422
the army jacket.,3.86,0.36,0.076337445,0.124847393,0.121296373
the army knife.,3.61,1.07,0.082118604,0.152904489,0.165461309
the army radio.,3.32,1.09,0.13338409,0.268146097,0.209695127
the army truck.,3.89,0.42,0.137294411,0.254871134,0.223332556
the army wife.,3.46,1.14,0.114844219,0.195137236,0.274797608
the arrow orange.,0.36,0.73,0.247692882,0.197636051,0.315017599
the automobile engine.,4,0,0.307160051,0.448682802,0.667409506
the automobile magazine.,3.79,0.68,0.08827019,0.204488843,0.252043358
the automobile street.,1.41,1.32,0.148745484,0.166159924,0.167068556
the autumn leaf.,3.93,0.38,0.247192072,0.283216035,0.234251983
the autumn sun.,3.89,0.31,0.216794657,0.349217015,0.367451163
the axe rope.,0.21,0.5,0.277251572,0.229131222,0.646012609
the baby ape.,3.64,0.78,0.240778306,0.194279758,0.507615922
the baby bird.,3.96,0.19,0.26926692,0.241582145,0.522341837
the baby book.,3.86,0.59,0.049912772,0.217810779,0.302359824
the baby bottle.,3.79,0.83,0.311893753,0.353612643,0.399608887
the baby boy.,3.96,0.19,0.51938829,0.546677527,0.783792702
the baby bullet.,0.75,0.93,0.132445519,0.222511477,0.360693235
the baby clothes.,4,0,0.327188637,0.37837261,0.427811685
the baby corn.,3.36,1.22,0.148274506,0.162700734,0.283608682
the baby crocodile.,3.93,0.27,0.259655845,0.191522462,0.452617744
the baby face.,3.64,0.78,0.121444937,0.256390395,0.289905998
the baby goat.,3.75,0.8,0.291051173,0.317749544,0.582192687
the baby gorilla.,3.93,0.38,0.320134367,0.29452763,0.5877518
the baby milk.,2.86,1.18,0.349372436,0.384202559,0.367428768
the baby picture.,3.79,0.83,0.170964869,0.304417108,0.322643711
the baby rabbit.,3.89,0.42,0.276117652,0.254538509,0.67516889
the baby sister.,4,0,0.371295763,0.430579919,0.595629681
the baby squirrel.,3.93,0.26,0.271215919,0.218578303,0.468673711
the baby teeth.,3.82,0.48,0.202177707,0.313774221,0.375739075
the bag body.,0.93,1.15,0.257988242,0.293865314,0.443412817
the bag book.,1,1,0.163421611,0.220266989,0.363292425
the bag chair.,1.39,1.45,0.131771876,0.229038892,0.363158321
the bag dime.,0.61,0.92,0.20899683,0.303015599,0.394576165
the bag flea.,0.32,0.72,0.175429032,0.189238798,0.241359708
the bag gun.,0.39,0.74,0.289409833,0.297247889,0.468503668
the bag gym.,0.75,0.93,0.199809077,0.3328854,0.341529292
the bag nut.,0.71,0.9,0.165536739,0.194348678,0.45923239
the bag onion.,0.68,0.98,0.153330097,0.167157566,0.247792914
the bag school.,0.55,0.87,0.062604645,0.143911032,0.141527939
the bag soup.,0.43,0.74,0.266065976,0.266102018,0.377986114
the bag trash.,0.97,0.98,0.319927622,0.502149432,0.533225487
the bag truck.,0.57,0.88,0.270520587,0.340239158,0.512634113
the baker book.,2.64,1.25,0.14844589,0.236229246,0.172486915
the ball beach.,1.07,1.09,0.122697925,0.203534087,0.31545503
the ball cap.,3.11,1.55,0.11441148,0.25206194,0.510157493
the ball field.,3.29,1.15,0.368978575,0.427025821,0.406808922
the ball fire.,0.96,1.17,0.104999214,0.214847673,0.36538509
the ball golf.,0.96,1.2,0.250310485,0.309838977,0.347534403
the ball orange.,0.64,0.99,0.051660588,0.160958998,0.252120362
the ball tree.,0.43,0.79,0.146056062,0.230199954,0.459874635
the ball winter.,0.25,0.59,0.094195237,0.145486829,0.214340843
the ball yarn.,1.21,1.13,0.09376537,0.204293743,0.390769669
the ballet school.,4,0,0.17619601,0.285963113,0.280349689
the banana gold.,0.41,0.73,0.155714896,0.072804006,0.371397059
the banana ice.,1.34,1.47,0.11859854,0.18622993,0.398354627
the banana leaf.,2.93,1.56,0.360216981,0.338526963,0.557276967
the banana nut.,3.1,1.29,0.391331482,0.483995915,0.882349078
the banana pie.,3.83,0.66,0.272673758,0.328796012,0.651912081
the banana plant.,3.38,1.18,0.220597403,0.218476743,0.321666966
the banana skin.,3.62,0.98,0.09244981,0.263165317,0.331882518
the banana tree.,3.59,1.09,0.286887688,0.349649436,0.419078809
the barn bike.,0.93,1.27,0.234173361,0.187699641,0.322191194
the barn cat.,3.44,1.05,0.246743315,0.277542875,0.31176133
the barn door.,3.86,0.76,0.299614111,0.369741759,0.511821432
the barn horse.,2.69,1.39,0.517165149,0.40212821,0.386674386
the beach ball.,4,0,0.122697925,0.203534087,0.31545503
the beach chair.,3.79,0.62,0.092625372,0.178937293,0.184086571
the beach house.,3.86,0.44,0.243504734,0.248085929,0.413064188
the beach picture.,3.43,1.14,0.112236544,0.129052211,0.237380696
the beach road.,3.14,1.22,0.318297155,0.316234159,0.585235945
the beach sand.,3.25,1.21,0.520518391,0.468190408,0.48724111
the beach summer.,1.39,1.29,0.221693392,0.342935928,0.23493196
the beach sunset.,3.31,1.23,0.381495277,0.407017635,0.438946214
the beach umbrella.,3.69,0.93,0.09990406,0.073844481,0.136371587
the beard summer.,0.29,0.66,0.045585635,0.096040471,0.145194895
the bed dog.,0.93,0.9,0.20662018,0.300845306,0.345009146
the bed face.,0.83,1.1,0.133721649,0.18911718,0.415530392
the bed flower.,1.04,1,0.242464835,0.294700817,0.433422112
the bed iris.,0.59,0.87,0.12544402,0.013182011,0.252335837
the bed lake.,0.71,1.12,0.246963172,0.227061509,0.459316427
