Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum,pairs,Word2Vec,GloVe,Taxonomic
the alcohol blood.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,2,-1,0.71,0.98,28,0,0,0,0.08,12,3074,3.49,324,2536,2860,2.51,3.4,5.91,alcohol blood,0.37127557,0.402201763,0.570252307
the alcohol screen.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1,1,0.9,1.18,29,0,0,0,0.01,13,2205,3.34,324,518,842,2.51,2.71,5.22,alcohol screen,0.066408486,0.079153028,0.174364508
the alligator mouth.,Makes Sense,1,2,Nonsense,0,3,Makes Sense,1,3,1,3.54,0.96,28,,0,0,0.28,14,485,2.69,24,2411,2435,1.38,3.38,4.76,alligator mouth,0.212630538,0.283077989,0.205587763
the alligator skin.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3,1,3.93,0.26,28,,0,0,0.25,13,5551,3.74,24,1617,1641,1.38,3.21,4.59,alligator skin,0.150999408,0.284452252,0.227701588
the ankle bracelet.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,29,0.01,0.049,0.03,0.16,13,62618,4.8,185,65,250,2.27,1.81,4.08,ankle bracelet,0.158441171,0.392701813,0.263678767
the ant fire.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,-1,1,1.02,28,0,0,0,0.06,7,168,2.23,69,2738,2807,1.84,3.44,5.28,ant fire,0.194008136,0.187523744,0.170677379
the ant garden.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,2.12,1.48,56,0,0,0,0.23,9,220,2.34,69,1998,2067,1.84,3.3,5.14,ant garden,0.280538982,0.108386949,0.229495969
the ant hill.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,3.93,0.38,28,0.38,0.314,0.35,0.17,7,11242,4.05,69,1258,1327,1.84,3.1,4.94,ant hill,0.169494537,0.195547859,0.187189722
the ant queen.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4,-1,2.75,1.04,28,0,0,0,0.26,8,997,3,69,889,958,1.84,2.95,4.79,ant queen,0.190423255,0.184269229,0.32663679
the ape baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,1,2.75,1.27,28,0.01,0,0,0.23,7,622,2.79,90,3281,3371,1.95,3.52,5.47,ape baby,0.240778306,0.194279758,0.507615922
the ape blood.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1,1,2.96,1.26,28,0,0,0,0.07,8,178,2.25,90,2536,2626,1.95,3.4,5.36,ape blood,-0.00960639,0.083758436,0.322165349
